participant_name,line
David Pastrnak,0.5
Kirill Kaprizov,0.5
Matthew Tkachuk,0.5
Jordan Poole,3.0
Donte Divincenzo,2.5
Kevon Looney,2.0
Andrew Wiggins,1.5
Stephen Curry,5.5
Aaron Gordon,2.5
Kevin Huerter,3.0
Kentavious Caldwell-Pope,1.5
Tyus Jones,7.5
Jaylen Brown,3.0
Al Horford,3.0
Alex Anzalone,2.5
Justin Reid,2.0
Nick Bolton,3.0
Roquan Smith,3.0
Fred Warner,3.0
Sidney Crosby,0.5
Elias Pettersson,0.5
Alex Tuch,0.5
Cade Cunningham,6.5
Jaden Ivey,4.0
Jalen Green,3.0
Alperen Sengun,4.5
Jonas Valanciunas,1.5
Kyle Kuzma,5.0
Victor Wembanyama,3.0
Karl-Anthony Towns,3.0
Lauri Markkanen,2.0
Jrue Holiday,4.5
Jalen Duren,2.0
Taurean Prince,1.5
Og Anunoby,1.5
Deni Avdija,4.5
Dorian Finney-Smith,1.5
Alec Burks,1.5
Miles Bridges,3.0
Simone Fontecchio,2.0
Bojan Bogdanovic,2.5
Cody Martin,2.5
